startTime,endTime,value
2025-05-08T07:45:00.000Z,2025-05-08T08:00:00.000Z,675.9
2025-05-08T07:30:00.000Z,2025-05-08T07:45:00.000Z,659.7
2025-05-08T10:45:00.000Z,2025-05-08T11:00:00.000Z,691.0
2025-05-08T10:30:00.000Z,2025-05-08T10:45:00.000Z,690.7
2025-05-08T10:15:00.000Z,2025-05-08T10:30:00.000Z,690.3
2025-05-08T10:00:00.000Z,2025-05-08T10:15:00.000Z,690.0
2025-05-08T09:45:00.000Z,2025-05-08T10:00:00.000Z,688.0
2025-05-08T09:15:00.000Z,2025-05-08T09:30:00.000Z,687.8
2025-05-08T09:00:00.000Z,2025-05-08T09:15:00.000Z,687.7
2025-05-08T08:45:00.000Z,2025-05-08T09:00:00.000Z,687.7
2025-05-08T08:30:00.000Z,2025-05-08T08:45:00.000Z,687.7
2025-05-08T11:45:00.000Z,2025-05-08T12:00:00.000Z,615.9
2025-05-08T11:30:00.000Z,2025-05-08T11:45:00.000Z,624.2
2025-05-08T11:15:00.000Z,2025-05-08T11:30:00.000Z,632.5
2025-05-08T11:00:00.000Z,2025-05-08T11:15:00.000Z,640.8
2025-05-08T10:45:00.000Z,2025-05-08T11:00:00.000Z,690.0
2025-05-08T10:30:00.000Z,2025-05-08T10:45:00.000Z,691.0
2025-05-08T10:15:00.000Z,2025-05-08T10:30:00.000Z,691.0
2025-05-08T12:45:00.000Z,2025-05-08T13:00:00.000Z,572.2
2025-05-08T12:30:00.000Z,2025-05-08T12:45:00.000Z,578.5
2025-05-08T12:15:00.000Z,2025-05-08T12:30:00.000Z,584.7
2025-05-08T12:00:00.000Z,2025-05-08T12:15:00.000Z,590.9
2025-05-08T11:45:00.000Z,2025-05-08T12:00:00.000Z,607.9
2025-05-08T11:30:00.000Z,2025-05-08T11:45:00.000Z,621.6
2025-05-08T11:15:00.000Z,2025-05-08T11:30:00.000Z,635.2
2025-05-08T11:00:00.000Z,2025-05-08T11:15:00.000Z,648.8
2025-05-08T13:45:00.000Z,2025-05-08T14:00:00.000Z,465.5
2025-05-08T13:30:00.000Z,2025-05-08T13:45:00.000Z,478.4
2025-05-08T13:15:00.000Z,2025-05-08T13:30:00.000Z,491.3
2025-05-08T13:00:00.000Z,2025-05-08T13:15:00.000Z,504.2
2025-05-08T12:45:00.000Z,2025-05-08T13:00:00.000Z,554.7
2025-05-08T12:30:00.000Z,2025-05-08T12:45:00.000Z,572.6
2025-05-08T12:15:00.000Z,2025-05-08T12:30:00.000Z,590.6
2025-05-08T12:00:00.000Z,2025-05-08T12:15:00.000Z,608.5
2025-05-08T11:45:00.000Z,2025-05-08T12:00:00.000Z,608.5
2025-05-08T11:30:00.000Z,2025-05-08T11:45:00.000Z,623.4
